icao,iata,name,callsign,country,active
RTQ,,Air Turquoise,TURQUOISE,France,N
RTU,,Aerotucan,AEROTUCAN,Mexico,N
RUD,,Air Anastasia,ANASTASIA,Ukraine,N
RUM,,Air Rum,AIR RUM,Sierra Leone,N
RUN,,ACT Havayollari,CARGO TURK,Turkey,N
RVP,,Air VIP,AEROVIP,Portugal,N
RVT,,Aircompany Veteran,AIR-VET,Armenia,N
RWB,,Alliance Express Rwanda,,Rwanda,N
RWC,,Arrow Ecuador Arrowec,ARROWEC,Ecuador,N
RWY,,Aerogroup 98 Limited,TYNWALD,United Kingdom,N
RXT,,Aeroxtra,AERO-EXTRA,Mexico,N
RXX,,Express Air Charter,REX AIR,Canada,N
RWS,,Air Whitsunday,,Australia,N
RZL,,Aero Zambia,AERO ZAMBIA,Zambia,N
RZN,,Aero Zano,ZANO,Mexico,N
RZZ,,Anoka Air Charter,RED ZONE,United States,N
SBH,,Aerosaab,AEROSAAB,Mexico,N
SCD,,Associated Aviation,ASSOCIATED,Nigeria,N
SCM,,American Jet International,SCREAMER,United States,N
SDO,EX,Air Santo Domingo,AERO DOMINGO,Dominican Republic,N
SDP,,Aero Sudpacifico,SUDPACIFICO,Mexico,N
SEF,,Aero Servicios Ejecutivas Del Pacifico,SERVIPACIFICO,Mexico,N
SER,JR,Aero California,AEROCALIFORNIA,Mexico,N
SFM,,A-Safar Air Services,AIR SAFAR,Nigeria,N
SGV,,Aerosegovia,SEGOVIA,Nicaragua,N
SHH,,Airshare Holdings,AIRSHARE,United Kingdom,N
SIY,,Aerosiyusa,SIYUSA,Mexico,N
SIZ,,Aero Silza,AEROSILZA,Mexico,N
SJN,,Air San Juan,SAN JUAN,United States,N
SKP,,Aero-North Aviation Services,SKIPPER,Canada,N
SMI,,Aero Sami,SAMI,Mexico,N
SMJ,Z3,Avient Aviation,AVAVIA,Zimbabwe,Y
SOD,,Aerolineas Sol,ALSOL,Mexico,N
SOE,,Air Soleil,AIR SOLEIL,Mauritania,N
SOG,,Aero Soga,AEROSOGA,Guinea-Bissau,N
SPD,,Airspeed Aviation,SPEEDLINE,Canada,N
SPJ,M3,Air Service,AIR SKOPJE,Macedonia,N
SPO,,Aeroservicios Ejecutivos Del Pacifico,EJECTUIV PACIFICO,Mexico,N
SPY,,Asian Aerospace Service,THAI SPACE,Thailand,N
SPZ,,Airworld,SPEED SERVICE,South Africa,N
SQR,,Alsaqer Aviation,ALSAQER AVIATION,Libya,N
SRI,,Air Safaris and Services,AIRSAFARI,New Zealand,N
SRV,,Aero Servicio Corporativo,SERVICORP,Mexico,N
SSL,,Air Sultan,SIERRA SULTAN,Sierra Leone,N
SSM,,Aero 1 Pro-Jet,RAPID,Canada,N
SSN,,Airquarius Air Charter,SUNSTREAM,South Africa,N
STK,,Aeropac,SAT PAK,United States,N
STT,,Air St. Thomas,PARADISE,United States,N
SUE,,Aerolineas Del Sureste,AEROSURESTE,Mexico,N
SUY,,Aerial Surveys (1980) Limited,SURVEY,New Zealand,N
SVK,GM,Air Slovakia,SLOVAKIA,Slovakia,N
SWH,,Adler Aviation,SHOCKWAVE,Canada,N
SYL,R3,Aircompany Yakutia,AIR YAKUTIA,Russia,Y
SYT,,Aerosud Aviation,SKYTRACK,South Africa,N
TAA,,Aeroservicios de La Costa,AERO COSTA,Mexico,N
TAO,VW,Aeromar,TRANS-AEROMAR,Mexico,Y
TBL,,Aerotrebol,AEROTREBOL,Mexico,N
TBO,,Aero Taxi de Los Cabos,AERO CABOS,Mexico,N
TCI,JY,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands,N
TCO,,Aerotranscolombina de Carga,TRANSCOLOMBIA,Colombia,N
TDG,,Air Cargo Express,TURBO DOG,United States,N
TDT,,Atlas Helicopters,TRIDENT,United Kingdom,N
TDY,,Air Today,AIR TODAY,United States,N
TED,,Aero Servicios Azteca,AEROAZTECA,Mexico,N
TFL,OR,Arkefly,ARKEFLY,Netherlands,Y
TIR,,Antair,ANTAIR,Mexico,N
TLB,,Atlantique Air Assistance,TRIPLE-A,France,N
TLD,,Aero Taxi Autlan,AEREO AUTLAN,Mexico,N
TLE,,Aero Util,AEROUTIL,Mexico,N
TLU,,Aero Toluca Internactional,AEROTOLUCA,Mexico,N
TME,,Aero Taxi del Centro de Mexico,TAXICENTRO,Mexico,N
TOC,,Aerotropical,TROPICMEX,Mexico,N
TOH,,Air Tomisko,TOMISKO CARGO,Serbia,N
TOK,CG,Airlines PNG,BALUS,Papua New Guinea,Y
TON,,Aero Tanala,AEROTANALA,Mexico,N
TPB,,Aero Tropical,AERO TROPICAL,Angola,N
TPC,TY,Air Cal,AIRCAL,France,N
TPK,,Air Horizon,TCHAD-HORIZON,Chad,N
TPO,,Aero Taxi del Potosi,TAXI-POTOSI,Mexico,N
TQS,,Aeroturquesa,AEROTURQUESA,Mexico,N
TRH,,Airmark Aviation,TRANSTAR,United States,N
TRS,FL,AirTran Airways,CITRUS,United States,Y
TSC,TS,Air Transat,TRANSAT,Canada,Y
TSQ,,airtransse,AIRTRA,Japan,N
TTB,,Aerolineas Turisticas del Caribe,AERO TURISTICAS,Mexico,N
TTE,,Avcenter,TETON,United States,N
TUN,,Air Tungaru,TUNGARU,Kiribati,N
TWN,EC,Avialeasing Aviation Company,TWINARROW,Uzbekistan,Y
TXD,,Aerotaxis del Noroeste,TAXI OESTE,Mexico,N
TXF,,Aerotaxis Alfe,ALFE,Mexico,N
TXI,,Aereotaxis,AEREOTAXIS,Mexico,N
TYR,VO,Tyrolean Airways,TYROLEAN,Austria,Y
TZA,,Aero Tomza,AERO TOMZA,Mexico,N
TZT,,Air Zambezi,ZAMBEZI,Zimbabwe,N
UAG,,Afra Airlines,AFRALINE,Ghana,N
UAR,,Aerostar Airlines,AEROSTAR,Ukraine,N
UCK,,Air Division of the Eastern Kazakhstan Region,GALETA,Kazakhstan,N
UCR,DW,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine,N
UED,,Air LA,AIR L-A,United States,N
UKR,6U,Air Ukraine,AIR UKRAINE,Ukraine,N
UMB,,Air Umbria,AIR UMBRIA,Italy,N
UND,,Atuneros Unidos de California,ATUNEROS UNIDOS,Mexico,N
FLP,,Aeroclub Flaps,AEROCLUB FLAPS,Spain,N
GLG,2K,Aerolineas Galapagos (Aerogal),AEROGAL,Ecuador,Y
GLB,,Air Castle Corporation / Global Airways,GLO-AIR,United States,N
DRU,6R,Alrosa Mirny Air Enterprise,MIRNY,Russia,Y
PVO,,Bearing Supplies Limited,PROVOST,United Kingdom,N
BAA,,Balkan Agro Aviation,BALKAN AGRO,Bulgaria,N
BAB,,Bahrain Air BSC (Closed),AWAL,Bahrain,N
BAC,,BAC Leasing Limited,,United Kingdom,N
BAE,,BAE Systems,FELIX,United Kingdom,N
BAF,,Belgian Air Force,BELGIAN AIRFORCE,Belgium,N
BAJ,8Q,Baker Aviation,BAKER AVIATION,United States,N
BAK,,Blackhawk Airways,BLACKHAWK,United States,N
BAL,,Britannia Airways,BRITANNIA,United Kingdom,N
BAM,,Business Air Services,BUSINESS AIR,Canada,N
BAN,,British Antarctic Survey,PENGUIN,United Kingdom,N
BAR,,Bradly Air (Charter) Services,BRADLEY,Canada,N
BAU,,Bissau Airlines,AIR BISSAU,Guinea-Bissau,N
BAV,,Bay Aviation Ltd,BAY AIR,Bangladesh,N
BAW,BA,British Airways,SPEEDBIRD,United Kingdom,Y
BAX,,Best Aero Handling Ltd,,Russia,N
BAY,,Bayon Airlines,BAYON,Cambodia,N
BBA,,Bannert Air,BANAIR,Austria,N
BBC,BG,Biman Bangladesh Airlines,BANGLADESH,Bangladesh,Y
BBD,BF,Bluebird Cargo,BLUE CARGO,Iceland,N
BBS,,Beibars CJSC,BEIBARS,Kazakhstan,N
BBV,,Bravo Airlines,BRAVO EUROPE,Spain,N
BBZ,,Blue Bird Aviation,COBRA,Kenya,N
BCF,B4,BACH Flugbetriebsges,BACH,Austria,N
BCI,,Blue Islands,BLUE ISLAND,United Kingdom,N
BCL,,British Caribbean Airways,,United Kingdom,N
BCR,,British Charter,BACKER,United Kingdom,N
BCT,,BCT Aviation,BOBCAT,United Kingdom,N
BCV,,Business Aviation Center,BUSINESS AVIATION,Ukraine,N
BDA,BZ,Blue Dart Aviation,BLUE DART,India,N
BON,JA,B&H Airlines,Air Bosna,Bosnia and Herzegovina,N
BDF,,Bissau Discovery Flying Club,BISSAU DISCOVERY,Guinea-Bissau,N
AYB,,Belgian Army,BELGIAN ARMY,Belgium,N
BDR,,Badr Airlines,BADR AIR,Sudan,N
BEA,,Best Aviation Ltd,BEST AIR,Bangladesh,N
BED,,Belgorod Aviation Enterprise,BELOGORYE,Russia,N
AJC,,Bar Harbor Airlines,BAR HARBOR,United States,N
BEF,,Balear Express,BALEAR EXPRESS,Spain,N
BEH,,Bel Air Helicopters,BLUECOPTER,Denmark,N
BEK,,Berkut Air,BERKUT,Kazakhstan,N
BET,,BETA - Brazilian Express Transportes Aereos,BETA CARGO,Brazil,N
BFC,,Basler Flight Service,BASLER,United States,N
BFG,,Bear Flight,BEARFLIGHT,Sweden,N
BFL,J4,Buffalo Airways,BUFFALO,Canada,N
BFO,,Bombardier,BOMBARDIER,Canada,N
BFR,,Burkina Airlines,BURKLINES,Burkina Faso,N
BFS,,Business Flight Sweden,BUSINESS FLIGHT,Sweden,N
BFW,,Bahrain Defence Force,SUMMAN,Bahrain,N
BGH,,BH Air,BALKAN HOLIDAYS,Bulgaria,N
BGI,,British Gulf International,BRITISH GULF,S,N
BGK,,British Gulf International-Fez,GULF INTER,Kyrgyzstan,N
BGL,A8,Benin Golf Air,BENIN GOLF,Benin,N
BGM,,Bugulma Air Enterprise,BUGAVIA,Russia,N
BGR,,Budget Air Bangladesh,BUDGET AIR,Bangladesh,N
BGT,,Bergen Air Transport,BERGEN AIR,Norway,N
BHA,,Buddha Air,BUDDHA AIR,Nepal,N
BHI,,Balkh Airlines,SHARIF,Afghanistan,N
BHL,,Bristow Helicopters,BRISTOW,United Kingdom,N
BHN,,Bristow Helicopters Nigeria,BRISTOW HELICOPTERS,Nigeria,N
BHO,,Bhoja Airlines,BHOJA,Pakistan,N
BHP,4T,Belair Airlines,BELAIR,Switzerland,Y
BHR,,Bighorn Airways,BIGHORN AIR,United States,N
BHS,UP,Bahamasair,BAHAMAS,Bahamas,Y
BHT,,Bright Air,BRIGHTAIR,Netherlands,N
BHY,,Bosphorus European Airways,BOSPHORUS,Turkey,N
BID,,Binair,BINAIR,Germany,N
BIG,,Big Island Air,BIG ISLE,United States,N
BIH,BS,British International Helicopters,BRINTEL,United Kingdom,Y
BIL,,Billund Air Center,BILAIR,Denmark,N
BIN,,Boise Interagency Fire Center,BISON-AIR,United States,N
BIR,,Bird Leasing,BIRD AIR,United States,N
BIZ,,Bizjet Ltd,BIZZ,United Kingdom,N
BJA,,Baja Air,BAJA AIR,Mexico,N
BJC,,Baltic Jet Aircompany,BALTIC JET,Latvia,N
BJS,,Business Jet Solutions,SOLUTION,United States,N
BKA,B4,Bankair,BANKAIR,United States,N
BKF,,BF-Lento OY,BAKERFLIGHT,Finland,Y
BKJ,,Barken International,BARKEN JET,United States,N
BKP,PG,Bangkok Airways,BANGKOK AIR,Thailand,Y
BKV,,Bukovyna,BUKOVYNA,Ukraine,N
BLB,,Blue Bird Aviation,BLUEBIRD SUDAN,Sudan,N
BLC,,Bellesavia,BELLESAVIA,Belarus,N
BLE,,Blue Line,BLUE BERRY,France,N
BLF,KF,Blue1,BLUEFIN,Finland,Y
BLG,,Belgavia,BELGAVIA,Belgium,N
BLH,,Blue Horizon Travel Club,BLUE HORIZON,United States,N
BLJ,,Blue Jet,BLUEWAY,Spain,N
BLL,,Baltic Airlines,BALTIC AIRLINES,Russia,Y
BLM,,Blue Airways,BLUE ARMENIA,Armenia,N
BLN,,Bali International Air Service,BIAR,Indonesia,N
BLS,JV,Bearskin Lake Air Service,BEARSKIN,Canada,Y
BLT,,Baltic Aviation,BALTAIR,United States,N
BLV,B3,Bellview Airlines,BELLVIEW AIRLINES,Nigeria,Y
BMA,BD,bmi,MIDLAND,United Kingdom,Y
BMD,,British Medical Charter,BRITISH MEDICAL,United Kingdom,N
BME,,Briggs Marine Environmental Services,BRIGGS,United Kingdom,N
BMH,,Bristow Masayu Helicopters,MASAYU,Indonesia,N
BMI,WW,bmibaby,BABY,United Kingdom,Y
BMJ,CH,Bemidji Airlines,BEMIDJI,United States,Y
BML,5Z,Bismillah Airlines,BISMILLAH,Bangladesh,N
BMN,,Bowman Aviation,BOWMAN,United States,N
BMR,,British Midland Regional,,United Kingdom,Y
BMW,,BMW,BMW-FLIGHT,Germany,N
BMX,,Banco de Mexico,BANXICO,Mexico,N
BND,,Bond Offshore Helicopters,BOND,United Kingdom,N
BNE,,Benina Air,BENINA AIR,Libya,N
BNG,,BN Group Limited,VECTIS,United Kingdom,N
BNL,,Blue Nile Ethiopia Trading,NILE TRADING,Ethiopia,N
BNR,,Bonair Aviation,BONAIR,Canada,N
BNS,,Bancstar - Valley National Corporation,BANCSTAR,United States,N
BNT,,Bentiu Air Transport,BENTIU AIR,Sudan,N
BNV,,Benane Aviation Corporation,BENANE,Mauritania,N
BNW,,British North West Airlines,BRITISH NORTH,United Kingdom,N
BOA,,Boniair,KUMANOVO,Macedonia,N
BOD,,Bond Air Services,UGABOND,Uganda,N
BOE,,Boeing,BOEING,United States,N
BOF,,Bordaire,BORDAIR,Canada,N
BOO,,Bookajet Limited,BOOKAJET,United Kingdom,N
BOU,BO,Bouraq Indonesia Airlines,BOURAQ,Indonesia,N
BPA,BV,Blue Panorama Airlines,BLUE PANOROMA,Italy,Y
BPK,,Berkhut ZK,VENERA,Kazakhstan,N
BPO,,Bundepolizei-Fliegertruppe,PIROL,Germany,N
BPS,,Budapest Aircraft Services/Manx2,BASE,Hungary,Y
BPT,,Bonus Aviation,BONUS,United Kingdom,N
BPX,,British Petroleum Exploration,,Colombia,N
BRB,7R,BRA-Transportes Aereos,BRA-TRANSPAEREOS,Brazil,N
BRD,,Brock Air Services,BROCK AIR,Canada,N
BRE,,Breeze Ltd,AVIABREEZE,Ukraine,N
BRG,8E,Bering Air,BERING AIR,United States,Y
BRK,,Briansk State Air Enterprise,BRIANSK-AVIA,Russia,N
BRN,,Branson Airlines,BRANSON,United States,N
BRO,,BASE Regional Airlines,COASTRIDER,Netherlands,N
BRS,,Brazilian Air Force,BRAZILIAN AIR FORCE,Brazil,Y
BRT,,British Regional Airlines,BRITISH,United Kingdom,N
BRU,B2,Belavia Belarusian Airlines,BELARUS AVIA,Belarus,Y
BRV,K6,Bravo Air Congo,BRAVO,Democratic Republic of the Congo,N
BRW,,Bright Aviation Services,BRIGHT SERVICES,Bulgaria,N
BNF,BN,Braniff International Airways,Braniff,United States,N
BRX,,Buffalo Express Airlines,BUFF EXPRESS,United States,N
BRY,,Burundayavia,BURAIR,Kazakhstan,N
BSC,,Bistair - Fez,BIG SHOT,Kyrgyzstan,N
BSD,,Blue Star Airlines,AIRLINES STAR,Mexico,N
BSI,,Brasair Transportes Aereos,BRASAIR,Brazil,N
BSJ,,Blue Swann Aviation,BLUE SWANN,United Kingdom,N
BSM,,Blue Sky Aviation,,Lebanon,N
BSS,,Bissau Aero Transporte,BISSAU AIRSYSTEM,Guinea-Bissau,N
BST,,Best Air,TUNCA,Turkey,N
BSW,,Blue Sky Airways,SKY BLUE,Czech Republic,N
BSY,GQ,Big Sky Airlines,BIG SKY,United States,N
BTC,V9,BAL Bashkirian Airlines,BASHKIRIAN,Russia,N
BTH,,Baltijas Helicopters,BALTIJAS HELICOPTERS,Latvia,N
BTK,,Baltyka,BALTYKA,Ukraine,N
BTL,,Baltia Air Lines,BALTIA FLIGHT,United States,N
BTR,,Botir-Avia,BOTIR-AVIA,Kyrgyzstan,N
GAA,,Business Express,BIZEX,United States,N
BTT,,BT-Slavuta,BEETEE-SLAVUTA,Ukraine,N
BTV,7P,Metro Batavia,BATAVIA,Indonesia,Y
BUC,,Bulgarian Air Charter,BULGARIAN CHARTER,Bulgaria,N
BUL,,Blue Airlines,BLUE AIRLINES,Democratic Republic of the Congo,N
BUN,,Buryat Airlines Aircompany,BURAL,Russia,N
BUZ,,Buzz Stansted,BUZZ,United Kingdom,N
BVA,,Buffalo Airways,BUFFALO AIR,United States,N
BVC,,Bulgarian Aeronautical Centre,BULGARIAN WINGS,Bulgaria,N
BVN,,Baron Aviation Services,SHOW-ME,United States,N
BVT,J8,Berjaya Air,BERJAYA,Malaysia,Y
BVU,,Bellview Airlines,Sierra Leone,,N
BWG,QW,Blue Wings,BLUE WINGS,Germany,Y
BWI,,Blue Wing Airlines,BLUE TAIL,Suriname,N
BWL,,BWA (2002) Ltd,BRITWORLD,United Kingdom,N
BXA,,Bahrain Executive Air Services,BEXAIR,Bahrain,N
BXH,,Bar XH Air,PALLISER,Canada,N
BXI,,Brussels International Airlines,XENIA,Belgium,N
BXR,,Redding Aero Enterprises,BOXER,United States,N
BYA,,Berry Aviation,BERRY,United States,N
BYL,,Bylina Joint-Stock Company,BYLINA,Russia,N
BYR,,Berytos Airlines,,Lebanon,N
BYE,BM,Bayu Indonesia Air,BAYU,Indonesia,N
BZA,,Bizair Fluggesellschaft,BERLIN BEAR,Germany,N
BZH,DB,Brit Air,BRITAIR,France,Y
BZZ,,Butane Buzzard Aviation Corporation,BUZZARD,United Kingdom,N
AUJ,,Business Flight Salzburg,AUSTROJET,Austria,N
CKM,,BKS Air (Rivaflecha),COSMOS,Spain,N
CLF,,Bristol Flying Centre,CLIFTON,United Kingdom,N
CLN,,Barnes Olsen Aeroleasing,SEELINE,United Kingdom,N
CPJ,,Baltimore Air Transport,CORPJET,United States,N
CXS,E9,Boston-Maine Airways,CLIPPER CONNECTION,United States,N
DAT,SN,Brussels Airlines,BEE-LINE,Belgium,Y
EAH,,Baltimore Airways,EASTERN,United States,N
EBA,,Bond Aviation,BOND AVIATION,Italy,N
EXB,,Brazilian Army Aviation,BRAZILIAN ARMY,Brazil,N
EXP,,Business Express Delivery,EXPRESS AIR,Canada,N
FOS,,Bel Limited,,Russia,N
HAW,,Bangkok Aviation Center,THAI HAWK,Thailand,N
HAX,,Benair,SCOOP,Norway,N
IBB,NT,Binter Canarias,,Spain,Y
IRJ,,Bonyad Airlines,BONYAD AIR,Iran,N
IVR,,Burundaiavia,RERUN,Kazakhstan,N
JOR,0B,Blue Air,BLUE TRANSPORT,Romania,Y
LAJ,KJ,British Mediterranean Airways,BEE MED,United Kingdom,Y
LBY,,Belle Air,ALBAN-BELLE,Albania,N
LED,,Blom Geomatics,SWEEPER,Norway,N
LTL,,Benin Littoral Airways,LITTORAL,Benin,N
LXJ,,Bombardier Business Jet Solutions,FLEXJET,United States,N
LZB,FB,Bulgaria Air,FLYING BULGARIA,Bulgaria,Y
MBR,,Brazilian Navy Aviation,BRAZILIAN NAVY,Brazil,N
NKF,8N,Barents AirLink,NORDFLIGHT,Sweden,Y
NYB,,Belgian Navy,BELGIAN NAVY,Belgium,N
OGJ,,Bakoji Airlines Services,BAKO AIR,Nigeria,N
PEB,,Benders Air,PALEMA,Sweden,N
PNT,,Balmoral Central Contracts,PORTNET,South Africa,N
POI,,BGB Air,BOJBAN,Kazakhstan,N
PPS,,Butte Aviation,PIPESTONE,United States,N
RHD,,Bond Air Services,RED HEAD,United Kingdom,N
RLR,,Business Airfreight,RATTLER,United States,N
RPX,,BAC Express Airlines,RAPEX,United Kingdom,N
RRS,,Boscombe Down DERA (Formation),BLACKBOX,United Kingdom,N
SCJ,,Business Jet Sweden,SCANJET,Sweden,N
SHT,,British Airways Shuttle,SHUTTLE,United Kingdom,N
SKH,,British Sky Broadcasting,SKYNEWS,United Kingdom,N
TXB,,Bell Helicopter Textron,TEXTRON,Canada,N
UKA,,Buzzaway Limited,UKAY,United Kingdom,N
VLX,,Biz Jet Charter,AVOLAR,United States,N
VOL,,Blue Chip Jet,BLUE SPEED,Sweden,N
WFD,,BAE Systems,AVRO,United Kingdom,N
WTN,,BAE Systems,TARNISH,United Kingdom,N
XBO,,Baseops International,,United States,N
XDA,,Bureau Veritas,,France,N
XMS,,British Airways,SANTA,United Kingdom,N
ZBA,,Boskovic Air Charters Limited,BOSKY,Kenya,N
SRJ,,C Air Jet Airlines,SYRJET,Syrian Arab Republic,N
ORO,,C N Air,CAPRI,Spain,N
TIP,,C and M Aviation,TRANSPAC,United States,N
RWG,,C&M Airways,RED WING,United States,N
RMU,,C.S.P.,Societe,AIR-MAUR,N
CBI,,CABI,CABI,Ukraine,N
CPI,,CAI,AIRCAI,Italy,N
ICL,5C,CAL Cargo Air Lines,CAL,Israel,Y
CMR,,CAM Air Management,CAMEO,United Kingdom,N
CTZ,,CATA L,CATA,Argentina,N
CCF,,CCF Manager Airline,TOMCAT,Germany,N
CED,,CEDTA (Compania Ecuatoriana De Transportes Aereos),CEDTA,Ecuador,N
HBI,,CHC Denmark,HELIBIRD,Denmark,N
HEM,,CHC Helicopters,HEMS,Australia,N
SCH,AW,CHC Airways,,Netherlands,N
HKS,,CHC Helikopter Service,HELIBUS,Norway,N
VCI,,CI-Tours,CI-TOURS,Ivory Coast,N
CKC,,CKC Services,,United States,N
CMZ,,CM Stair,CEE-EM STAIRS,Mauritania,N
CNT,,CNET,KNET,France,N
OAP,,COAPA AIR,COAPA,Mexico,N
PDR,,COMAV,SPEEDSTER,Namibia,N
CRH,,CRI Helicopters Mexico,HELI-MEX,Mexico,N
IRO,,CSA Air,IRON AIR,United States,N
CSE,,CSE Aviation,OXFORD,United Kingdom,N
CTQ,,CTK Network Aviation,CITYLINK,Ghana,N
CBR,,Cabair College of Air Training,CABAIR,United Kingdom,N
CVE,,Cabo Verde Express,KABEX,Cape Verde,N
CWD,,Caernarfon Airworld,AMBASSADOR,United Kingdom,N
CCE,,Cairo Air Transport Company,,Egypt,N
CGC,,Cal Gulf Aviation,CAL-GULF,Sao Tome and Principe,N
REZ,,Cal-West Aviation,CAL AIR,United States,N
CSL,,California Air Shuttle,CALIFORNIA SHUTTLE,United States,N
CLI,XG,Calima Aviacion,CALIMA,Spain,Y
CAV,MO,Calm Air,CALM AIR,Canada,N
CAM,R9,Camai Air,AIR CAMAI,United States,N
KHM,,Cambodia Airlines,CAMBODIA AIRLINES,Cambodia,N
UYC,UY,Cameroon Airlines,CAM-AIR,Cameroon,N
HSO,,Campania Helicopteros De Transporte,HELIASTURIAS,Spain,N
CJA,C6,CanJet,CANJET,Canada,N
PIL,,Canada Jet Charters,PINNACLE,Canada,N
CDN,CP,Canadian Airlines,CANADIAN,Canada,Y
CTG,,Canadian Coast Guard,CANADIAN COAST GUARD,Canada,N
HIA,,Canadian Eagle Aviation,HAIDA,Canada,N
CFC,,Canadian Forces,CANFORCE,Canada,N
BZD,,Canadian Global Air Ambulance,BLIZZARD,Canada,N
CDN,,Canadian Helicopters,CANADIAN,Canada,N
TKR,,Canadian Interagency Forest Fire Centre,TANKER,Canada,N
XNC,,Canadian National Telecommunications,,Canada,N
MPE,5T,Canadian North,EMPRESS,Canada,Y
CDR,,Canadian Regional Airlines,CANADIAN REGIONAL,Canada,N
CWH,,Canadian Warplane Heritage Museum,WARPLANE HERITAGE,Canada,N
CWA,W2,Canadian Western Airlines,CANADIAN WESTERN,Canada,N
CWW,,Canair,CANAIR,China,N
CUI,,Cancun Air,CAN-AIR,Mexico,N
KAP,9K,Cape Air,CAIR,United States,Y
CTO,,Cape Air Transport,,Australia,N
SEM,,Cape Central Airways,SEMO,United States,N
CMY,,Cape Smythe Air,CAPE SMYTHE AIR,United States,N
CPX,,Capital Air Service,CAPAIR,United States,N
CPD,,Capital Airlines,CAPITAL DELTA,Kenya,N
NCP,,Capital Airlines Limited,CAPITAL SHUTTLE,Nigeria,N
CCI,PT,Capital Cargo International Airlines,CAPPY,United States,N
CCQ,,Capital City Air Carriers,CAP CITY,United States,N
EGL,,Capital Trading Aviation,PRESTIGE,United Kingdom,N
CEX,,Capitol Air Express,CAPITOL EXPRESS,United States,N
CWZ,,Capitol Wings Airline,CAPWINGS,United States,N
VAN,,Caravan Air,CAMEL,Mauritania,N
CWN,,Cardiff Wales Flying Club,CAMBRIAN,United Kingdom,N
FVA,,Cardinal/Air Virginia,AIR VIRGINIA,United States,N
GOL,,Cardolaar,CARGOLAAR,Namibia,N
CDI,,Cards Air Services,CARDS,Philippines,N
CFH,,Care Flight,CARE FLIGHT,Australia,N
CDM,,Carga Aerea Dominicana,CARGA AEREA,Dominican Republic,N
EST,,Carga Express Internacional,CARGAINTER,Mexico,N
GGC,GG,Cargo 360,LONG-HAUL,United States,N
MCX,,Cargo Express,MAURICARGO,Mauritania,N
CRV,,Cargo Ivoire,CARGOIV,Ivory Coast,N
CLM,,Cargo Link (Caribbean),CARGO LINK,Barbados,N
CTW,,Cargo Three,THIRD CARGO,Panama,N
CRG,2G,Cargoitalia,WHITE PELICAN,Italy,N
CJT,W8,Cargojet Airways,CARGOJET,Canada,N
CLX,CV,Cargolux,CARGOLUX,Luxembourg,N
CGM,,Cargoman,HOTEL CHARLIE,Oman,N
DEL,,Carib Aviation,RED TAIL,Antigua and Barbuda,N
BCB,,Carib Express,WAVEBIRD,Barbados,N
CBC,,Caribair,CARIBAIR,Dominican Republic,N
DCC,,Caribbean Air Cargo,CARICARGO,Barbados,N
CLT,,Caribbean Air Transport,CARIBBEAN,Netherlands,N
BWA,BW,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
IQQ,,Caribbean Airways,CARIBJET,Barbados,N
TLC,,Caribbean Express,CARIB-X,United States,N
GFI,8B,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda,N
CRT,,Caribintair,CARIBINTAIR,Haiti,N
CVG,,Carill Aviation,CARILL,United Kingdom,N
KRP,V3,Carpatair,CARPATAIR,Romania,Y
CRR,,Carranza,CARRANZA,Chile,N
ULS,,Carroll Air Service,ULSTER,United States,N
CMT,,Casement Aviation,CASEMENT,United States,N
CSO,,Casino Airline,CASAIR,United States,N
CSP,,Casper Air Service,CASPER AIR,United States,N
CPN,RV,Caspian Airlines,CASPIAN,Iran,Y
CSJ,,Castle Aviation,CASTLE,United States,N
CAZ,,Cat Aviation,EUROCAT,Switzerland,N
CBT,,Catalina Flying Boats,CATALINA AIR,United States,N
TEX,,Catex,CATEX,France,N
CPA,CX,Cathay Pacific,CATHAY,Hong Kong SAR of China,Y
CJR,,Caverton Helicopters,CAVERTON AIR,Nigeria,N
CAY,KX,Cayman Airways,CAYMAN,Cayman Islands,Y
CEB,5J,Cebu Pacific,CEBU AIR,Philippines,Y
CIL,,Cecil Aviation,CECIL,United Kingdom,N
CEG,,Cega Aviation,CEGA,United Kingdom,N
CEC,,Celtic Airways,CELTAIR,United Kingdom,N
CWE,,Celtic West,CELTIC,United Kingdom,N
CNA,7N,Centavia,,Serbia,N
CEV,,Cente D'Essais En Vol,CENTEV,France,N
CNL,,Centennial Airlines,WYO-AIR,United States,N
CNS,,Centennial Flight Centre,CENTENNIAL,Canada,N
CVO,,Center Vol,CENTERVOL,Spain,N
CTS,,Center-South,CENTER-SOUTH,Russia,N
CET,,Centrafrican Airlines,CENTRAFRICAIN,Central African Republic,N
CAX,,Central Air Express,CENTRAL EXPRESS,Democratic Republic of Congo,N
CTL,,Central Airlines,CENTRAL COMMUTER,United States,N
CNY,,Central Airways,CENTRAL LEONE,Sierra Leone,N
ACN,,Central American Airlines,AEROCENTRO,Nicaragua,N
YOG,,Central Aviation,YOGAN AIR,United States,N
CCG,,Central Connect Airlines,,Czech Republic,Y
DRN,,Central De Discos De Reynosa,DISCOS REYNOSA,Mexico,N
CMA,,Central European Airlines,EUROCENTRAL,Czech Republic,N
